Player,Year,Player Year,Games,Total plays,On-ball PRF/g,On-ball PRF baseline,On-ball Plays/g,On-ball rORTG,On-ball PC/g,Off-ball: Partner PRF/g,Off-ball: Partner PRF/g baseline,Off-ball: Partner Plays/g,Off-ball: Partner rORTG,Off-ball: Partner PC/g,Off-ball: Space PRF/g,Off-ball: Space PRF/g baseline,Off-ball: Space Plays/g,Off-ball: Space rORTG,Off-ball: Space PC/g,Off-ball: Crash PRF/g,Off-ball: Crash PRF/g baseline,Off-ball: Crash Plays/g,Off-ball: Crash rORTG,Off-ball: Crash PC/g,Transition PRF/g,Transition PRF/g baseline,Transition Plays/g,Transition rORTG,Transition PC/g,Total PRF/g,Total PRF/g baseline,Total Plays/g,Total rORTG,Total PC/g
A.J. Lawson,2022-23,A.J. Lawson 2022-23,14,53,0.0,0.2,0.2,-100.0,-0.21,0.0,0.0,0.0,,0.00,1.6,1.6,1.5,0.6,0.01,0.9,0.5,0.5,77.0,0.39,1.7,1.6,1.6,9.3,0.15,4.2,3.9,3.8,8.6,0.33
A.J. Lawson,2023-24,A.J. Lawson 2023-24,32,146,0.9,0.8,0.8,7.1,0.06,0.1,0.2,0.2,-59.3,-0.11,1.2,1.6,1.6,-30.9,-0.48,0.8,0.5,0.5,54.3,0.25,1.9,1.5,1.5,24.9,0.37,4.8,4.7,4.6,2.0,0.09
Aaron Brooks,2007-08,Aaron Brooks 2007-08,53,469,5.2,5.6,6.1,-5.6,-0.34,0.5,0.3,0.4,39.0,0.14,1.6,1.5,1.5,11.5,0.17,0.0,0.1,0.1,-83.0,-0.11,1.0,0.7,0.8,40.5,0.31,8.4,8.2,8.8,2.0,0.17
Aaron Brooks,2008-09,Aaron Brooks 2008-09,81,1553,11.2,11.7,12.8,-3.7,-0.47,0.8,0.5,0.5,51.9,0.28,3.1,3.0,3.0,4.4,0.13,0.5,0.4,0.4,9.8,0.04,2.7,2.2,2.5,16.9,0.42,18.2,17.8,19.2,2.0,0.39
Aaron Brooks,2009-10,Aaron Brooks 2009-10,82,2735,19.5,19.6,21.5,-0.5,-0.10,1.7,1.2,1.4,34.5,0.47,4.5,3.8,4.0,17.1,0.69,1.0,0.8,0.7,26.6,0.18,5.8,5.3,5.8,8.1,0.47,32.5,30.8,33.4,5.1,1.71
Aaron Brooks,2010-11,Aaron Brooks 2010-11,59,1285,14.9,14.5,16.0,2.6,0.42,0.4,0.7,0.8,-39.0,-0.30,1.7,1.8,1.8,-4.2,-0.08,0.4,0.4,0.3,-3.8,-0.01,3.1,2.5,2.8,18.4,0.52,20.5,19.9,21.8,2.5,0.55
Aaron Brooks,2012-13,Aaron Brooks 2012-13,53,700,7.8,8.1,9.1,-2.9,-0.26,0.1,0.2,0.2,-19.2,-0.04,2.1,1.4,1.4,48.9,0.70,0.4,0.3,0.3,17.3,0.05,2.1,2.0,2.2,4.8,0.11,12.5,12.0,13.2,4.2,0.56
Aaron Brooks,2013-14,Aaron Brooks 2013-14,68,1287,11.6,11.9,13.1,-2.2,-0.28,0.3,0.3,0.3,9.1,0.03,2.5,1.9,1.9,31.7,0.61,0.3,0.3,0.3,2.9,0.01,3.5,3.0,3.3,16.7,0.55,18.2,17.3,18.9,4.8,0.91
Aaron Brooks,2014-15,Aaron Brooks 2014-15,82,1745,13.8,13.8,15.4,-0.4,-0.06,0.9,0.7,0.8,27.2,0.21,2.4,1.9,2.0,23.5,0.47,0.1,0.2,0.2,-42.2,-0.09,2.9,2.6,2.9,8.4,0.24,20.1,19.3,21.3,3.7,0.79
Aaron Brooks,2015-16,Aaron Brooks 2015-16,68,1038,10.5,10.8,11.8,-2.5,-0.29,0.5,0.4,0.5,17.6,0.09,1.3,1.1,1.1,17.3,0.20,0.0,0.1,0.1,-48.8,-0.03,1.8,1.6,1.8,12.7,0.22,14.2,14.0,15.3,1.2,0.18
Aaron Brooks,2016-17,Aaron Brooks 2016-17,62,684,7.2,7.6,8.0,-5.1,-0.41,0.2,0.2,0.2,-1.1,0.00,1.4,1.3,1.3,9.3,0.12,0.1,0.1,0.1,-17.4,-0.02,1.2,1.2,1.3,-0.5,-0.01,10.2,10.5,11.0,-2.8,-0.31
Aaron Brooks,2017-18,Aaron Brooks 2017-18,27,146,3.5,4.2,4.4,-15.5,-0.69,0.4,0.2,0.2,105.0,0.23,0.6,0.4,0.4,40.6,0.18,0.0,0.0,0.0,,0.00,0.3,0.3,0.3,5.0,0.01,4.9,5.2,5.4,-4.8,-0.26
Aaron Gordon,2014-15,Aaron Gordon 2014-15,47,364,2.6,2.8,3.1,-7.1,-0.22,0.5,0.6,0.6,-18.1,-0.11,1.2,1.7,1.7,-26.9,-0.46,1.4,1.1,1.1,27.1,0.29,1.5,1.1,1.3,30.1,0.38,7.1,7.2,7.7,-1.5,-0.12
Aaron Gordon,2015-16,Aaron Gordon 2015-16,78,1028,4.1,4.2,4.6,-3.2,-0.15,0.8,0.9,0.9,-8.0,-0.07,2.0,2.3,2.3,-11.5,-0.27,3.2,2.6,2.5,25.5,0.63,3.1,2.6,2.8,18.0,0.51,13.3,12.6,13.2,5.0,0.66
Aaron Gordon,2016-17,Aaron Gordon 2016-17,80,1414,6.9,7.0,7.5,-1.7,-0.12,1.2,1.2,1.2,0.9,0.01,2.7,3.3,3.3,-19.2,-0.64,3.0,2.2,2.0,39.1,0.79,3.9,3.5,3.7,11.3,0.42,17.7,17.2,17.7,2.6,0.45
Aaron Gordon,2017-18,Aaron Gordon 2017-18,58,1377,8.5,9.0,9.5,-5.4,-0.51,1.9,1.8,1.8,4.0,0.07,5.0,5.1,5.0,-0.8,-0.04,2.6,2.2,2.0,21.9,0.43,5.6,5.2,5.5,6.8,0.37,23.6,23.3,23.7,1.3,0.32
Aaron Gordon,2018-19,Aaron Gordon 2018-19,78,1989,12.5,12.9,13.4,-3.0,-0.40,1.6,1.5,1.5,3.1,0.05,4.4,4.5,4.5,-0.5,-0.02,3.0,2.6,2.3,17.2,0.39,4.1,3.7,3.8,11.2,0.43,25.6,25.1,25.5,1.8,0.45
Aaron Gordon,2019-20,Aaron Gordon 2019-20,62,1514,12.3,13.1,13.6,-6.1,-0.83,1.0,1.3,1.3,-18.2,-0.23,2.5,2.9,2.9,-14.9,-0.43,3.3,2.8,2.5,18.5,0.46,4.7,4.0,4.2,16.5,0.69,23.8,24.2,24.4,-1.4,-0.33
Aaron Gordon,2020-21,Aaron Gordon 2020-21,50,1048,10.5,11.6,11.8,-9.4,-1.11,1.4,1.3,1.3,7.3,0.10,2.6,2.5,2.5,2.4,0.06,2.8,2.5,2.2,12.2,0.26,3.5,3.2,3.3,7.7,0.25,20.7,21.2,21.0,-2.1,-0.44
Aaron Gordon,2021-22,Aaron Gordon 2021-22,75,1471,8.8,8.7,9.0,0.6,0.05,1.6,1.3,1.2,20.0,0.25,2.7,2.7,2.7,0.2,0.01,3.9,3.3,2.8,21.2,0.59,4.7,3.8,3.9,20.7,0.82,21.5,19.8,19.6,8.7,1.71
Aaron Gordon,2022-23,Aaron Gordon 2022-23,68,1437,10.0,9.6,9.6,3.7,0.36,1.1,1.0,0.9,13.7,0.13,1.4,1.6,1.5,-10.6,-0.16,6.0,5.1,4.3,20.2,0.87,5.6,4.7,4.8,18.4,0.88,24.2,22.1,21.1,9.8,2.07
