Rk,Player,5 Best Seasons,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
1,LeBron James,7.92,9.47,8.31,8.14,6.88,6.81,6.63,6.43,5.79,5.59,5.54,5.07,4.94,4.72,4.31,4.04,3.68,3.02,2.92,2.43,,,
2,Stephen Curry,7.39,9.27,8.36,6.88,6.23,6.19,6.16,6.06,5.70,5.52,4.07,3.82,3.59,3.50,3.01,1.94,,,,,,,
3,Steve Nash,7.22,8.34,7.70,6.87,6.66,6.54,6.29,6.19,2.98,0.76,,,,,,,,,,,,,
4,Chris Paul,6.96,7.50,7.05,6.93,6.85,6.49,6.42,5.80,5.62,5.17,5.04,4.84,4.81,4.16,3.70,2.93,2.55,2.34,1.89,0.83,,,
5,Kevin Durant,6.61,7.24,7.08,6.99,5.94,5.81,5.66,5.65,5.55,5.38,5.16,4.98,3.86,3.58,3.55,2.07,-0.66,,,,,,
6,James Harden,6.00,6.36,5.99,5.94,5.89,5.81,5.76,5.48,5.38,5.02,4.78,4.38,4.36,2.68,2.65,0.62,,,,,,,
7,Nikola Jokic,5.83,7.72,6.26,5.98,5.37,3.82,3.18,3.10,2.33,1.41,,,,,,,,,,,,,
8,Damian Lillard,5.00,6.55,5.68,4.76,4.09,3.94,3.66,3.62,3.59,3.55,3.00,2.90,1.90,,,,,,,,,,
9,Kobe Bryant,4.99,5.42,5.15,5.04,4.75,4.56,4.01,2.80,2.76,-0.66,-1.02,-1.15,,,,,,,,,,,
10,Luka Doncic,4.80,5.75,5.49,5.46,3.71,3.58,1.66,,,,,,,,,,,,,,,,
11,Giannis Antetokounmpo,4.68,5.06,5.00,4.99,4.39,3.96,3.43,2.98,2.95,1.29,0.78,-0.26,,,,,,,,,,,
12,Kyrie Irving,4.67,5.18,4.82,4.65,4.56,4.12,3.93,3.58,3.34,3.33,2.82,2.60,2.55,2.21,,,,,,,,,
13,Tony Parker,4.66,6.33,5.00,4.34,3.88,3.74,3.09,2.80,2.59,2.20,1.68,1.41,0.36,0.14,-0.03,,,,,,,,
14,Deron Williams,4.62,4.94,4.86,4.72,4.55,4.03,3.30,2.99,2.48,2.29,1.47,1.35,0.65,,,,,,,,,,
15,Dwyane Wade,4.53,4.77,4.64,4.47,4.45,4.35,4.30,3.69,3.56,2.27,1.69,1.54,-0.11,-0.30,-0.35,,,,,,,,
16,Kawhi Leonard,4.49,5.15,4.45,4.40,4.26,4.19,4.03,3.88,2.69,2.68,2.19,1.76,-0.31,,,,,,,,,,
17,Dirk Nowitzki,4.32,4.86,4.75,4.58,3.76,3.67,3.46,3.39,3.07,2.99,2.94,2.32,1.30,0.49,-0.84,,,,,,,,
18,Trae Young,4.17,6.43,4.02,3.90,3.46,3.01,1.47,,,,,,,,,,,,,,,,
19,Kyle Lowry,4.03,5.02,4.64,3.64,3.55,3.30,3.21,2.91,2.52,2.51,2.48,2.07,1.65,1.29,0.61,0.53,0.29,0.08,,,,,
20,Jimmy Butler,3.79,4.79,3.84,3.57,3.44,3.33,2.97,2.49,2.43,2.26,2.16,0.99,0.36,0.10,,,,,,,,,
21,Chauncey Billups,3.79,4.28,4.04,3.82,3.54,3.25,3.15,3.06,2.28,-1.13,,,,,,,,,,,,,
22,JJ Redick,3.68,4.17,4.16,3.56,3.37,3.17,3.12,2.80,2.33,2.25,2.23,1.45,0.55,0.48,0.41,0.34,,,,,,,
23,Manu Ginobili,3.68,5.00,3.62,3.38,3.36,3.07,3.00,2.96,2.79,2.50,1.79,1.48,0.67,0.41,,,,,,,,,
24,Russell Westbrook,3.67,4.21,3.74,3.66,3.63,3.12,2.34,1.87,1.48,1.01,0.67,0.32,-0.04,-0.56,-1.07,-1.20,-1.66,,,,,,
25,Blake Griffin,3.55,4.32,3.99,3.48,3.07,2.91,2.49,1.66,1.64,0.88,0.58,0.15,-0.34,-1.81,,,,,,,,,
26,Jose Calderon,3.53,4.19,3.66,3.43,3.22,3.13,2.92,2.46,2.21,1.43,1.10,0.72,0.68,-0.65,-0.75,,,,,,,,
27,Isaiah Thomas,3.49,6.18,2.99,2.85,2.78,2.64,2.31,0.80,0.16,-0.47,-1.63,,,,,,,,,,,,
28,Jameer Nelson,3.45,5.53,3.31,3.07,2.74,2.60,2.06,1.25,1.13,0.80,0.59,0.22,0.05,-1.01,,,,,,,,,
29,Ray Allen,3.43,4.22,3.42,3.28,3.17,3.03,2.76,2.20,1.87,1.86,,,,,,,,,,,,,
30,Klay Thompson,3.38,4.30,3.81,3.14,3.07,2.57,2.19,1.65,1.62,1.48,1.26,1.05,,,,,,,,,,,
31,Devin Booker,3.36,4.69,3.79,3.42,2.57,2.30,1.76,0.56,0.34,-0.09,,,,,,,,,,,,,
32,Ty Lawson,3.33,4.13,4.02,3.04,2.84,2.62,1.83,0.82,0.13,,,,,,,,,,,,,,
33,Karl-Anthony Towns,3.32,4.10,3.45,3.36,3.13,2.58,2.47,1.91,1.83,1.71,,,,,,,,,,,,,
