Player,Year,Season type,Tm,Games,Minutes,Possessions,Years experience,On-ball PRF/g,On-ball PRF/36,On-ball PRF/75,On-ball Plays/g,On-ball Plays/36,On-ball Plays/75,On-ball rORTG,On-ball PC/g,On-ball PC/36,On-ball PC/75,Off-ball: Partner PRF/g,Off-ball: Partner PRF/36,Off-ball: Partner PRF/75,Off-ball: Partner Plays/g,Off-ball: Partner Plays/36,Off-ball: Partner Plays/75,Off-ball: Partner rORTG,Off-ball: Partner PC/g,Off-ball: Partner PC/36,Off-ball: Partner PC/75,Off-ball: Space PRF/g,Off-ball: Space PRF/36,Off-ball: Space PRF/75,Off-ball: Space Plays/g,Off-ball: Space Plays/36,Off-ball: Space Plays/75,Off-ball: Space rORTG,Off-ball: Space PC/g,Off-ball: Space PC/36,Off-ball: Space PC/75,Off-ball: Crash PRF/g,Off-ball: Crash PRF/36,Off-ball: Crash PRF/75,Off-ball: Crash Plays/g,Off-ball: Crash Plays/36,Off-ball: Crash Plays/75,Off-ball: Crash rORTG,Off-ball: Crash PC/g,Off-ball: Crash PC/36,Off-ball: Crash PC/75,Transition PRF/g,Transition PRF/36,Transition PRF/75,Transition Plays/g,Transition Plays/36,Transition Plays/75,Transition rORTG,Transition PC/g,Transition PC/36,Transition PC/75,Total PRF/g,Total PRF/36,Total PRF/75,Total Plays/g,Total Plays/36,Total Plays/75,Total rORTG,Total PC/g (ex. floor raising),Total PC/36 (ex. floor raising),Total PC/75 (ex. floor raising),Scoring PRF/g,Scoring PRF/36,Scoring PRF/75,Scoring Plays/g,Scoring Plays/36,Scoring Plays/75,Scoring rORTG,Scoring PC/g,Scoring PC/36,Scoring PC/75,Playmaking PRF/g,Playmaking PRF/36,Playmaking PRF/75,Playmaking Plays/g,Playmaking Plays/36,Playmaking Plays/75,Playmaking rORTG,Playmaking PC/g,Playmaking PC/36,Playmaking PC/75,% Playmaking,Floor raising PC/g,Floor raising PC/36,Floor raising PC/75,On-ball PC/g (floor raising adj.),On-ball PC/36 (floor raising adj.),On-ball PC/75 (floor raising adj.),Total PC/g (floor raising adj.),Total PC/36 (floor raising adj.),Total PC/75 (floor raising adj.),Half court PRF/g,Half court PRF/36,Half court PRF/75,Half court Plays/g,Half court Plays/36,Half court Plays/75,Half court rORTG,Half court PC/g,Half court PC/36,Half court PC/75,Half court PC/g (floor raising adj.),Half court PC/36 (floor raising adj.),Half court PC/75 (floor raising adj.),Off-ball PRF/g,Off-ball PRF/36,Off-ball PRF/75,Off-ball Plays/g,Off-ball Plays/36,Off-ball Plays/75,Off-ball rORTG,Off-ball PC/g,Off-ball PC/36,Off-ball PC/75,Total creation usage,On-ball creation usage,Off-ball creation usage,Transition creation usage,On-ball share,On-ball playmaking ratio,Has data? All,Has data? Any category,Has data? ISO,Has data? PNRBH,Has data? Post-Up,Has data? Misc,Has data? On-ball,Has data? Passing,Has data? Roll and Pop,Has data? Handoff,Has data? Off-ball: Partner,Has data? Spot-Up,Has data? Off Screen,Has data? Off-ball: Space,Has data? Open Rim,Has data? Putbacks,Has data? Off-ball: Crash,Has data? Transition
Nikola Jokic,2024-25,RS,CLE,70,2571,5390,10,32.7,32,31.8,29.7,29.1,28.9,13.5,4,3.92,3.89,4.2,4.2,4.1,3.2,3.1,3.1,20.9,0.66,0.65,0.64,5.2,5.1,5.1,4,3.9,3.9,24.3,0.97,0.95,0.95,6.3,6.2,6.2,4.6,4.6,4.5,19.2,0.89,0.87,0.87,7.4,7.3,7.2,5.9,5.8,5.7,15.1,0.88,0.87,0.86,55.9,54.8,54.4,47.4,46.4,46.1,18.5,7.41,7.26,7.21,29.5,28.9,28.7,23.6,23.1,22.9,19.2,4.53,4.44,4.41,26.4,25.9,25.7,23.8,23.3,23.2,12.1,2.88,2.82,280%,50%,1.34,1.02,1,5.34,4.94,4.89,8.75,8.28,8.21,48.5,47.5,47.2,41.5,40.7,40.4,15.7,6.52,6.39,6.35,7.86,7.41,7.35,15.8,15.5,15.4,11.8,11.6,11.5,21.4,2.53,2.48,246.00%,61.50%,38.60%,15.30%,7.60%,47.40%,52%,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Shai Gilgeous-Alexander,2024-25,RS,CLE,76,2598,5441,7,34.1,35.9,35.7,31.6,33.3,33.2,11.1,3.51,3.69,3.67,0.8,0.8,0.8,0.6,0.7,0.6,27.8,0.17,0.18,0.18,2.9,3.1,3.1,2.3,2.5,2.5,18.3,0.43,0.45,0.45,1.5,1.6,1.6,1,1.1,1,32.1,0.32,0.34,0.34,9.5,10,10,7.8,8.2,8.2,16.3,1.27,1.34,1.33,48.8,51.4,51.2,43.4,45.7,45.5,16.3,5.7,6,5.97,32,33.7,33.6,26.7,28.1,27.9,19.9,5.32,5.6,5.57,16.8,17.7,17.6,16.8,17.6,17.5,2.3,0.38,0.4,40%,39%,1.4,1.13,1.12,4.9,4.83,4.79,7.09,7.14,7.09,39.3,41.4,41.2,35.6,37.5,37.3,12.4,4.43,4.66,4.64,5.82,5.8,5.76,5.2,5.5,5.5,4,4.2,4.1,23.3,0.92,0.97,97.00%,60.70%,44.20%,5.50%,10.90%,53.20%,39%,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Luka Doncic,2024-25,RS,UTA,50,1769,3644,7,25.2,25.6,25.9,23.8,24.2,24.5,11.3,2.69,2.73,2.76,1,1.1,1.1,0.7,0.8,0.8,93.7,0.69,0.71,0.71,2.1,2.1,2.2,1.5,1.6,1.6,58.9,0.91,0.92,0.93,0.7,0.7,0.7,0.5,0.5,0.5,63.8,0.29,0.3,0.3,5.8,5.9,5.9,4.6,4.7,4.8,24.6,1.14,1.16,1.17,34.8,35.4,35.8,31.1,31.7,32,21.9,5.72,5.82,5.88,15.4,15.7,15.9,13.1,13.3,13.5,33.2,4.34,4.42,4.47,19.3,19.7,19.9,18.1,18.4,18.6,7.6,1.38,1.4,142%,58%,1.1,0.82,0.82,3.79,3.55,3.58,6.82,6.64,6.71,29,29.5,29.8,26.5,27,27.3,17.3,4.58,4.66,4.71,5.68,5.48,5.53,3.8,3.9,3.9,2.7,2.8,2.8,69.1,1.89,1.93,195.00%,42.70%,32.60%,3.80%,6.30%,38.00%,58%,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Tyrese Haliburton,2024-25,RS,LAC,73,2450,5083,5,28.8,30.8,31,27.3,29.3,29.4,9.5,2.6,2.79,2.8,1.6,1.7,1.7,1.3,1.4,1.4,25.2,0.32,0.34,0.35,3.8,4.1,4.1,3,3.2,3.2,19.8,0.59,0.64,0.64,0.3,0.3,0.3,0.2,0.2,0.3,33.1,0.08,0.08,0.08,7.4,8,8,6.4,6.8,6.9,8.1,0.52,0.56,0.56,41.9,44.9,45.1,38.2,41,41.2,14.1,4.11,4.41,4.43,18.1,19.4,19.5,15.4,16.5,16.6,16.8,2.58,2.77,2.78,23.8,25.5,25.6,22.8,24.5,24.6,6.7,1.53,1.64,165%,60%,1.26,1.03,1.02,3.86,3.82,3.82,5.37,5.44,5.45,34.5,37,37.1,31.8,34.1,34.3,11.3,3.59,3.86,3.87,4.85,4.88,4.89,5.7,6.1,6.1,4.5,4.8,4.9,22,0.99,1.07,107.00%,54.90%,39.20%,6.50%,9.20%,45.70%,60%,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Trae Young,2024-25,RS,POR,76,2739,5898,7,39.5,39.4,38.2,36.7,36.6,35.4,10.6,3.89,3.89,3.76,1.5,1.5,1.5,1.6,1.6,1.5,-3,-0.05,-0.05,-0.05,2.2,2.2,2.2,2.1,2.1,2,1.1,0.02,0.02,0.02,0.8,0.8,0.8,0.5,0.5,0.5,34.6,0.18,0.18,0.18,8.6,8.6,8.3,8.1,8.1,7.8,-3,-0.25,-0.25,-0.24,52.7,52.6,50.9,49,48.9,47.3,10.8,3.8,3.8,3.67,23.8,23.8,23,22.3,22.3,21.6,7,1.57,1.57,1.52,28.8,28.8,27.9,26.6,26.6,25.7,8.4,2.23,2.23,215%,54%,1.49,1.19,1.16,5.38,5.08,4.92,5.29,4.99,4.83,44,44,42.6,40.9,40.8,39.5,9.9,4.05,4.04,3.91,5.54,5.23,5.07,4.6,4.5,4.4,4.2,4.2,4,3.8,0.16,0.16,15.00%,63.10%,47.30%,5.40%,10.40%,58.40%,54%,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Stephen Curry,2024-25,RS,IND,70,2252,4703,16,20.6,23,23,19.5,21.8,21.7,8.4,1.64,1.83,1.83,2.5,2.8,2.8,2,2.2,2.2,25.9,0.51,0.57,0.57,8.4,9.4,9.4,6.4,7.1,7.1,27,1.73,1.93,1.93,2,2.2,2.2,1.4,1.6,1.6,15.2,0.22,0.24,0.24,5.7,6.3,6.3,5.1,5.7,5.7,-1,-0.05,-0.05,-0.05,39.2,43.9,43.8,34.4,38.5,38.4,14.3,4.04,4.52,4.51,24.2,27.1,27,20.5,22.9,22.9,14.9,3.06,3.42,3.41,15,16.8,16.7,13.9,15.6,15.5,7.1,0.98,1.1,110%,40%,0.87,0.7,0.68,2.5,2.53,2.51,4.91,5.22,5.19,33.5,37.5,37.4,29.3,32.7,32.7,14,4.09,4.58,4.56,4.96,5.27,5.25,12.9,14.5,14.4,9.8,10.9,10.9,25.1,2.45,2.74,274.00%,51.20%,29.00%,14.50%,7.60%,34.10%,40%,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Giannis Antetokounmpo,2024-25,RS,OKC,67,2289,4705,12,26.4,27.9,28.2,25.9,27.3,27.6,5.6,1.46,1.53,1.55,3,3.1,3.2,2.6,2.7,2.7,4.2,0.11,0.11,0.12,1.1,1.1,1.2,1.4,1.5,1.5,-31.8,-0.45,-0.48,-0.48,5.8,6.1,6.2,3.9,4.1,4.2,29.4,1.15,1.21,1.23,10.7,11.3,11.5,8.9,9.4,9.5,15.1,1.35,1.42,1.44,47,49.5,50.2,42.7,45,45.6,11.3,3.61,3.8,3.85,29.4,31,31.4,25.3,26.7,27,11.3,2.85,3.01,3.05,17.6,18.5,18.8,17.4,18.3,18.5,4.3,0.75,0.79,81%,41%,1.2,0.95,0.95,2.65,2.49,2.51,4.8,4.76,4.81,36.3,38.2,38.7,33.7,35.6,36,6.7,2.26,2.38,2.41,3.46,3.34,3.37,9.9,10.4,10.5,7.9,8.3,8.4,10.2,0.81,0.85,86.00%,60.70%,36.80%,11.20%,12.70%,41.30%,45%,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
Darius Garland,2024-25,RS,LAC,75,2301,4796,6,25,29.3,29.3,23.2,27.2,27.2,10.9,2.52,2.96,2.95,1.7,2,2,1.4,1.6,1.6,22.4,0.31,0.36,0.36,4.1,4.8,4.8,3.7,4.4,4.4,2.3,0.08,0.1,0.1,0.5,0.6,0.6,0.4,0.4,0.4,21.8,0.08,0.09,0.09,6.7,7.9,7.9,5.5,6.5,6.5,13.4,0.73,0.86,0.86,38,44.6,44.6,34.1,40.1,40,14,3.72,4.37,4.37,20.4,24,23.9,18,21.2,21.1,11.5,2.08,2.44,2.44,17.6,20.7,20.6,16.1,18.9,18.9,10.2,1.64,1.93,193%,47%,1.07,0.95,0.94,3.59,3.91,3.89,4.8,5.32,5.3,31.3,36.7,36.7,28.6,33.6,33.6,10.4,2.99,3.51,3.51,4.06,4.46,4.44,6.3,7.4,7.4,5.5,6.4,6.4,8.6,0.47,0.55,55.00%,53.40%,36.20%,8.50%,8.60%,43.50%,47%,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Kevin Durant,2024-25,RS,MIN,62,2265,4635,18,20.8,20.5,20.8,19.5,19.2,19.6,8.8,1.71,1.68,1.71,1.9,1.8,1.9,1.5,1.5,1.5,11.7,0.18,0.18,0.18,8.1,8,8.2,6.5,6.4,6.6,18.1,1.18,1.17,1.19,1.1,1.1,1.1,0.8,0.8,0.8,21.6,0.17,0.16,0.17,5.6,5.5,5.6,4.7,4.6,4.7,6,0.28,0.28,0.28,37.5,37,37.7,33,32.6,33.2,13.3,3.52,3.47,3.53,26.5,26.1,26.6,22.1,21.7,22.1,16.1,3.56,3.51,3.57,11,10.9,11.1,11,10.8,11,-0.4,-0.04,-0.04,-4%,33%,0.87,0.55,0.56,2.58,2.24,2.27,4.39,4.02,4.09,31.9,31.4,32,28.4,27.9,28.4,11.4,3.24,3.19,3.25,4.11,3.74,3.81,11.1,11,11.2,8.8,8.7,8.9,17.3,1.53,1.51,153.00%,44.20%,26.10%,11.80%,6.30%,30.30%,34%,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Damian Lillard,2024-25,RS,DAL,58,2093,4336,13,29.3,29.2,29.4,28.1,28.1,28.2,7.2,2.03,2.02,2.03,2.6,2.6,2.6,2.1,2.1,2.1,23.4,0.5,0.5,0.5,3.4,3.4,3.5,3,3,3,9.5,0.28,0.28,0.28,0.5,0.5,0.5,0.3,0.3,0.3,20.6,0.07,0.07,0.07,6.6,6.6,6.6,5.8,5.8,5.8,2.5,0.14,0.14,0.14,42.4,42.3,42.5,39.4,39.3,39.5,10.9,3.02,3.02,3.03,24.2,24.1,24.3,20.6,20.5,20.6,17.5,3.59,3.58,3.6,18.2,18.2,18.3,18.8,18.8,18.9,-3,-0.57,-0.57,-57%,48%,1.29,0.98,0.98,3.31,3,3.01,4.31,4,4.01,35.8,35.7,35.9,33.6,33.5,33.7,8.6,2.88,2.87,2.89,4.16,3.86,3.86,6.5,6.5,6.6,5.4,5.4,5.5,15.7,0.85,0.85,86.00%,52.70%,37.60%,7.30%,7.80%,43.30%,47%,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
