Player,Year,Season type,Tm,Games,Minutes,Possessions,Years experience,On-ball PRF/g,On-ball PRF/36,On-ball PRF/75,On-ball Plays/g,On-ball Plays/36,On-ball Plays/75,On-ball rORTG,On-ball PC/g,On-ball PC/36,On-ball PC/75,Off-ball: Partner PRF/g,Off-ball: Partner PRF/36,Off-ball: Partner PRF/75,Off-ball: Partner Plays/g,Off-ball: Partner Plays/36,Off-ball: Partner Plays/75,Off-ball: Partner rORTG,Off-ball: Partner PC/g,Off-ball: Partner PC/36,Off-ball: Partner PC/75,Off-ball: Space PRF/g,Off-ball: Space PRF/36,Off-ball: Space PRF/75,Off-ball: Space Plays/g,Off-ball: Space Plays/36,Off-ball: Space Plays/75,Off-ball: Space rORTG,Off-ball: Space PC/g,Off-ball: Space PC/36,Off-ball: Space PC/75,Off-ball: Crash PRF/g,Off-ball: Crash PRF/36,Off-ball: Crash PRF/75,Off-ball: Crash Plays/g,Off-ball: Crash Plays/36,Off-ball: Crash Plays/75,Off-ball: Crash rORTG,Off-ball: Crash PC/g,Off-ball: Crash PC/36,Off-ball: Crash PC/75,Transition PRF/g,Transition PRF/36,Transition PRF/75,Transition Plays/g,Transition Plays/36,Transition Plays/75,Transition rORTG,Transition PC/g,Transition PC/36,Transition PC/75,Total PRF/g,Total PRF/36,Total PRF/75,Total Plays/g,Total Plays/36,Total Plays/75,Total rORTG,Total PC/g (ex. floor raising),Total PC/36 (ex. floor raising),Total PC/75 (ex. floor raising),Scoring PRF/g,Scoring PRF/36,Scoring PRF/75,Scoring Plays/g,Scoring Plays/36,Scoring Plays/75,Scoring rORTG,Scoring PC/g,Scoring PC/36,Scoring PC/75,Playmaking PRF/g,Playmaking PRF/36,Playmaking PRF/75,Playmaking Plays/g,Playmaking Plays/36,Playmaking Plays/75,Playmaking rORTG,Playmaking PC/g,Playmaking PC/36,Playmaking PC/75,% Playmaking,Floor raising PC/g,Floor raising PC/36,Floor raising PC/75,On-ball PC/g (floor raising adj.),On-ball PC/36 (floor raising adj.),On-ball PC/75 (floor raising adj.),Total PC/g (floor raising adj.),Total PC/36 (floor raising adj.),Total PC/75 (floor raising adj.),Half court PRF/g,Half court PRF/36,Half court PRF/75,Half court Plays/g,Half court Plays/36,Half court Plays/75,Half court rORTG,Half court PC/g,Half court PC/36,Half court PC/75,Half court PC/g (floor raising adj.),Half court PC/36 (floor raising adj.),Half court PC/75 (floor raising adj.),Off-ball PRF/g,Off-ball PRF/36,Off-ball PRF/75,Off-ball Plays/g,Off-ball Plays/36,Off-ball Plays/75,Off-ball rORTG,Off-ball PC/g,Off-ball PC/36,Off-ball PC/75,Total creation usage,On-ball creation usage,Off-ball creation usage,Transition creation usage,On-ball share,On-ball playmaking ratio,On-ball Scoring PC/g,On-ball Scoring PC/36,On-ball Scoring PC/75,On-ball Playmaking PC/g,On-ball Playmaking PC/36,On-ball Playmaking PC/75,Has data? All,Has data? Any category,Has data? ISO,Has data? PNRBH,Has data? Post-Up,Has data? Misc,Has data? On-ball,Has data? Passing,Has data? Roll and Pop,Has data? Handoff,Has data? Off-ball: Partner,Has data? Spot-Up,Has data? Off Screen,Has data? Off-ball: Space,Has data? Open Rim,Has data? Putbacks,Has data? Off-ball: Crash,Has data? Transition
Kevin Durant,2013-14,RS,OKC,81,3122,6270,7,25.6,23.9,24.8,24.8,23.1,24.0,+14.9,3.70,3.46,3.59,2.0,1.9,1.9,1.8,1.6,1.7,+14.8,0.26,0.24,0.25,6.4,6.0,6.2,6.1,5.7,5.9,+7.4,0.45,0.42,0.43,2.4,2.3,2.4,1.7,1.6,1.6,+32.2,0.54,0.51,0.52,8.2,7.7,8.0,6.5,6.1,6.3,+25.8,1.68,1.56,1.62,44.6,41.7,43.2,40.8,38.1,39.5,+19.1,6.62,6.19,6.42,31.4,29.3,30.4,26.9,25.1,26.1,+22.1,5.94,5.55,5.75,13.3,12.4,12.9,13.9,13.0,13.4,+4.9,0.69,0.64,0.66,34%,1.17,0.77,0.75,4.87,4.22,4.34,7.80,6.96,7.17,36.4,34.0,35.3,34.3,32.0,33.2,+14.4,4.95,4.62,4.80,6.12,5.39,5.55,10.8,10.1,10.5,9.5,8.9,9.2,+13.1,1.25,1.17,1.21,52.7%,32.0%,12.3%,8.4%,35.4%,35%,3.12,2.91,3.02,0.58,0.55,0.57,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Carmelo Anthony,2013-14,RS,NYK,77,2982,5615,11,22.6,21.0,23.2,23.2,21.6,23.9,+9.1,2.12,1.97,2.18,0.9,0.9,1.0,0.9,0.8,0.9,+4.5,0.04,0.04,0.04,5.2,4.9,5.4,4.8,4.4,4.9,+10.4,0.50,0.46,0.51,2.6,2.4,2.7,2.1,1.9,2.1,+26.7,0.55,0.51,0.57,3.4,3.2,3.5,3.1,2.9,3.2,-3.1,-0.10,-0.09,-0.10,34.7,32.3,35.7,34.1,31.7,35.1,+12.4,3.11,2.89,3.20,26.8,24.9,27.6,25.8,24.0,26.5,+10.9,2.82,2.62,2.90,7.9,7.4,8.2,8.3,7.7,8.5,+3.5,0.29,0.27,0.30,24%,1.10,0.69,0.75,3.22,2.66,2.93,4.21,3.58,3.95,31.3,29.1,32.2,31.0,28.8,31.9,+10.4,3.21,2.98,3.30,4.31,3.67,4.05,8.8,8.1,9.0,7.8,7.2,8.0,+14.0,1.09,1.01,1.12,46.7%,31.9%,10.6%,4.3%,31.1%,24%,1.76,1.64,1.81,0.36,0.33,0.37,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
LeBron James,2013-14,RS,MIA,77,2902,5550,11,26.6,25.4,27.6,26.3,25.1,27.3,+13.1,3.45,3.29,3.59,0.8,0.8,0.8,0.6,0.6,0.6,+31.1,0.19,0.18,0.19,3.2,3.1,3.3,2.8,2.6,2.9,+16.7,0.46,0.44,0.48,2.6,2.5,2.7,1.8,1.7,1.9,+34.8,0.63,0.60,0.65,9.6,9.2,10.0,7.5,7.2,7.9,+28.2,2.13,2.03,2.21,42.8,40.9,44.5,39.0,37.2,40.6,+20.7,6.85,6.54,7.13,27.0,25.8,28.1,22.3,21.3,23.2,+27.7,6.18,5.90,6.43,15.8,15.1,16.4,16.7,15.9,17.4,+4.0,0.67,0.64,0.70,43%,1.24,0.86,0.90,4.69,4.15,4.48,8.09,7.40,8.02,33.2,31.7,34.5,31.4,30.0,32.7,+15.0,4.72,4.51,4.92,5.96,5.37,5.81,6.6,6.3,6.9,5.2,4.9,5.4,+24.7,1.28,1.22,1.33,54.1%,36.4%,7.2%,10.5%,37.6%,45%,2.74,2.62,2.85,0.71,0.68,0.74,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Kevin Love,2013-14,RS,MIN,77,2797,5765,6,17.8,17.6,17.8,19.6,19.5,19.7,+2.7,0.54,0.53,0.54,3.5,3.5,3.5,3.1,3.0,3.1,+16.2,0.49,0.49,0.50,5.6,5.6,5.6,5.1,5.1,5.1,+11.2,0.58,0.57,0.58,5.2,5.1,5.2,4.0,4.0,4.0,+24.9,1.00,1.00,1.01,4.5,4.5,4.6,3.7,3.7,3.7,+12.9,0.48,0.47,0.48,36.7,36.3,36.7,35.5,35.2,35.6,+11.2,3.09,3.06,3.10,25.8,25.6,25.8,23.4,23.2,23.4,+14.6,3.40,3.37,3.41,10.9,10.8,10.9,12.2,12.1,12.2,-2.6,-0.31,-0.31,-0.31,34%,0.90,0.56,0.52,1.44,1.09,1.06,3.99,3.63,3.61,32.1,31.8,32.2,31.8,31.6,31.9,+8.2,2.61,2.59,2.62,3.51,3.15,3.13,14.3,14.2,14.4,12.2,12.1,12.2,+17.0,2.08,2.06,2.08,47.5%,26.2%,16.3%,5.0%,26.1%,35%,0.78,0.77,0.78,-0.24,-0.24,-0.24,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Blake Griffin,2013-14,RS,LAC,80,2863,5704,4,16.8,16.9,17.7,17.5,17.6,18.4,+7.8,1.37,1.38,1.44,3.4,3.4,3.6,3.5,3.5,3.7,-4.4,-0.15,-0.15,-0.16,2.6,2.6,2.7,3.1,3.1,3.2,-15.7,-0.48,-0.49,-0.51,4.1,4.1,4.3,3.3,3.3,3.4,+17.6,0.57,0.57,0.60,6.8,6.9,7.2,5.1,5.1,5.4,+30.8,1.57,1.58,1.65,33.7,33.9,35.4,32.4,32.6,34.1,+11.2,2.87,2.88,3.01,24.1,24.2,25.3,22.6,22.7,23.8,+9.3,2.09,2.10,2.20,9.7,9.7,10.2,9.8,9.9,10.3,+7.9,0.77,0.78,0.81,30%,0.77,0.45,0.44,2.13,1.82,1.88,3.63,3.33,3.46,26.9,27.0,28.3,27.3,27.5,28.8,+4.8,1.30,1.31,1.37,2.07,1.75,1.81,10.1,10.1,10.6,9.8,9.9,10.3,-0.7,-0.07,-0.07,-0.07,45.5%,24.6%,13.7%,7.1%,25.0%,34%,0.51,0.51,0.53,0.86,0.86,0.90,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Stephen Curry,2013-14,RS,GSW,78,2846,5748,5,29.2,28.8,29.7,30.0,29.6,30.5,+9.0,2.71,2.68,2.76,0.6,0.6,0.6,0.6,0.6,0.6,+7.4,0.05,0.04,0.05,4.2,4.1,4.3,3.1,3.0,3.1,+37.7,1.16,1.15,1.18,0.5,0.5,0.5,0.4,0.4,0.5,+12.7,0.06,0.06,0.06,8.4,8.3,8.6,7.3,7.2,7.5,+15.0,1.10,1.09,1.12,42.9,42.4,43.7,41.5,40.9,42.2,+15.5,5.08,5.01,5.17,23.6,23.3,24.0,20.7,20.4,21.1,+22.5,4.67,4.61,4.75,19.3,19.1,19.7,20.8,20.5,21.2,+2.0,0.41,0.41,0.42,50%,1.37,1.03,1.00,4.08,3.71,3.76,6.45,6.05,6.17,34.5,34.1,35.1,34.2,33.7,34.8,+11.6,3.98,3.92,4.05,5.35,4.96,5.05,5.3,5.3,5.4,4.2,4.1,4.2,+30.5,1.27,1.25,1.29,56.3%,40.7%,5.6%,10.0%,42.6%,51%,2.51,2.47,2.55,0.21,0.21,0.21,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
James Harden,2013-14,RS,HOU,73,2778,5598,5,24.3,23.0,23.7,24.6,23.3,24.0,+10.4,2.57,2.43,2.51,1.0,0.9,1.0,0.8,0.7,0.7,+33.7,0.25,0.24,0.25,3.4,3.2,3.3,3.1,2.9,3.0,+11.0,0.34,0.32,0.33,0.8,0.7,0.8,0.6,0.6,0.6,+20.6,0.13,0.12,0.13,10.9,10.3,10.6,8.8,8.4,8.7,+25.2,2.23,2.11,2.18,40.3,38.1,39.4,37.9,35.9,37.1,+17.6,5.53,5.23,5.41,24.8,23.5,24.3,22.1,20.9,21.6,+19.8,4.37,4.13,4.27,15.5,14.6,15.1,15.8,15.0,15.5,+7.3,1.16,1.10,1.13,42%,1.16,0.77,0.75,3.73,3.20,3.27,6.69,6.00,6.16,29.4,27.8,28.8,29.1,27.5,28.4,+11.3,3.29,3.12,3.22,4.46,3.89,3.98,5.1,4.9,5.0,4.5,4.2,4.4,+16.2,0.73,0.69,0.71,49.4%,32.1%,5.8%,11.5%,34.0%,45%,1.41,1.33,1.37,1.16,1.10,1.14,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
DeMar DeRozan,2013-14,RS,TOR,79,3017,5704,5,17.9,16.8,18.6,19.9,18.8,20.7,+2.0,0.39,0.37,0.40,2.2,2.1,2.3,1.8,1.7,1.9,+29.7,0.53,0.50,0.55,6.9,6.5,7.2,7.2,6.8,7.5,-2.4,-0.17,-0.16,-0.18,1.4,1.3,1.4,1.1,1.0,1.1,+11.0,0.12,0.11,0.13,4.3,4.0,4.4,3.7,3.5,3.9,+6.3,0.24,0.22,0.24,32.6,30.7,33.9,33.7,31.8,35.0,+6.0,1.10,1.04,1.15,22.3,21.1,23.2,22.9,21.6,23.8,+2.7,0.62,0.59,0.65,10.3,9.7,10.7,10.9,10.2,11.3,+4.5,0.49,0.46,0.50,32%,0.92,0.52,0.58,1.31,0.89,0.98,2.02,1.56,1.73,28.3,26.7,29.4,30.0,28.3,31.2,+2.9,0.87,0.82,0.90,1.79,1.34,1.48,10.5,9.9,10.9,10.1,9.5,10.5,+4.8,0.48,0.45,0.50,46.7%,27.6%,14.0%,5.2%,24.9%,31%,-0.05,-0.05,-0.05,0.45,0.42,0.46,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Paul George,2013-14,RS,IND,80,2898,5561,4,15.2,15.1,16.4,18.2,18.0,19.6,-4.9,-0.89,-0.88,-0.96,0.7,0.7,0.8,0.8,0.8,0.9,-7.7,-0.06,-0.06,-0.07,7.2,7.1,7.7,6.1,6.1,6.6,+20.3,1.24,1.24,1.34,1.5,1.5,1.6,1.3,1.3,1.4,+0.8,0.01,0.01,0.01,5.2,5.2,5.6,4.5,4.5,4.8,+11.2,0.50,0.50,0.54,29.8,29.6,32.2,30.9,30.7,33.4,+5.2,0.80,0.80,0.87,21.3,21.2,23.0,20.6,20.5,22.3,+8.9,1.85,1.83,1.99,8.5,8.4,9.2,10.3,10.2,11.1,-10.1,-1.04,-1.04,-1.12,33%,0.81,0.47,0.51,-0.08,-0.41,-0.45,1.61,1.27,1.38,24.6,24.4,26.5,26.5,26.3,28.5,+1.1,0.30,0.30,0.32,1.11,0.77,0.84,9.4,9.4,10.2,8.3,8.2,9.0,+14.3,1.19,1.18,1.28,44.5%,26.1%,11.9%,6.5%,22.3%,33%,-0.17,-0.17,-0.19,-0.71,-0.71,-0.77,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Dirk Nowitzki,2013-14,RS,DAL,80,2628,5141,16,14.2,15.5,16.5,14.1,15.4,16.4,+12.5,1.77,1.94,2.06,4.1,4.5,4.8,3.3,3.6,3.8,+24.5,0.80,0.88,0.94,5.2,5.7,6.0,4.9,5.4,5.7,+7.2,0.35,0.39,0.41,1.0,1.1,1.1,0.7,0.7,0.8,+41.9,0.28,0.30,0.32,3.4,3.7,4.0,2.6,2.8,3.0,+20.2,0.52,0.57,0.61,27.9,30.5,32.5,25.5,28.0,29.8,+16.6,3.73,4.08,4.35,21.3,23.4,24.9,18.6,20.4,21.8,+19.0,3.54,3.88,4.13,6.5,7.2,7.6,6.9,7.5,8.0,+2.7,0.19,0.21,0.22,27%,0.52,0.30,0.31,2.29,2.23,2.37,4.25,4.38,4.66,24.4,26.8,28.5,22.9,25.1,26.8,+14.0,3.20,3.51,3.74,3.72,3.80,4.05,10.3,11.3,12.0,8.8,9.7,10.3,+16.2,1.44,1.57,1.68,39.7%,21.9%,13.8%,4.0%,23.0%,30%,1.70,1.86,1.98,0.07,0.07,0.08,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
